,GEMET,ENVO,home ontology (blank means unknown or outside OBO scope),create SDGIO term,words in GEMET,words in ENVO
access,N,N,,Y,"access road, access to administrative documents, access to culture, access to information, access to the courts, access to the sea",road: synonymn accessway
account,Y,N,,,"accounting, accounting system",
accountability,N,N,,,,
accountable,N,N,,,,
acidity,Y,Y,PATO,,"acidity, acidity degree",
action plan,N,N,OBI,,,
activity,N,Y,PROV,,,activity (of a radionuclide)
actor,N,N,PROV,,,
adaptation,N,N,PCO,,adaptation period,
administrative,N,N,,Y,"administrative body, administrative boundary, administrative competence, administrative court (administration), administrative deed, administrative fiat, administrative instructions, administrative jurisdiction, administrative law, administrative occupation, administrative organisation, administrative procedure, administrative sanction","administrative area, administrative entity, administrative region"
adolescent,N,N,PATO,,,
adopt,N,N,,,,
adoption,N,N,,,,
adult,Y,N,PATO,,"adult, adult education",
advocate,N,N,,,,
aftercare,N,N,,,,
agency,N,N,,,,
agreement,Y,N,,,"agreement (administrative), agreement (contract), agreement (legal)",
agricultural,N,Y,PATO/ENVO,,"agricultural biotechnology, agricultural building, agricultural disaster, agricultural ecology, agricultural economics, agricultural effluent, agricultural engineering, agricultural equipment, agricultural exploitation, agricultural holding, agricultural hydraulics, agricultural land, agricultural landscape, agricultural legislation, agricultural machinery, agricultural management, agricultural method, agricultural pest, agricultural planning, agricultural policy, agricultural pollution, agricultural product, agricultural production, agricultural real estate, agricultural storage, agricultural structure, agricultural undervaluation, agricultural waste","agricultural colony, agricultural land, agricultural site, agricultural feature, agricultural drain"
agricultural practice,N,N,ENVO,,"agricultural biotechnology, agricultural building, agricultural disaster, agricultural ecology, agricultural economics, agricultural effluent, agricultural engineering, agricultural equipment, agricultural exploitation, agricultural holding, agricultural hydraulics, agricultural land, agricultural landscape, agricultural legislation, agricultural machinery, agricultural management, agricultural method, agricultural pest, agricultural planning, agricultural policy, agricultural pollution, agricultural product, agricultural production, agricultural real estate, agricultural storage, agricultural structure, agricultural undervaluation, agricultural waste",
agriculture,N,N,ENVO,,"agricultural biotechnology, agricultural building, agricultural disaster, agricultural ecology, agricultural economics, agricultural effluent, agricultural engineering, agricultural equipment, agricultural exploitation, agricultural holding, agricultural hydraulics, agricultural land, agricultural landscape, agricultural legislation, agricultural machinery, agricultural management, agricultural method, agricultural pest, agricultural planning, agricultural policy, agricultural pollution, agricultural product, agricultural production, agricultural real estate, agricultural storage, agricultural structure, agricultural undervaluation, agricultural waste",
aid,N,N,,,"aid policy, AIDS",
air,Y,Y,,,"air, air conditioning, air movement, air pollutant,air pollution, air quality, air quality control, air quality impact, air quality management, air quality monitoring, air safety, air temperature, air traffic, air traffic law, air traffic regulation, air transportation, air-water interaction, airborne noise",
alien species,N,N,PCO,,,
all season road,N,N,ENVO,,road,
allocate,N,N,,,,
allocation,Y,N,,,"allocation, allocation plan",
ambient,N,N,,,,
