MESH:A	Anatomy	
MESH:A01	body region	body region
MESH:A01.047	abdomen	abdomen
MESH:A01.047.025	abdominal cavity	abdominal cavity	cavitas abdominis
MESH:A01.047.025.600	peritoneum	
MESH:A01.047.025.600.225	douglas' pouch	cul de sac of dougla	cul-de-sac of dougla	douglas cul-de-sac	douglas pouch	douglas' cul de sac	douglas' cul-de-sac	douglas' pouch	rectouterine pouch
MESH:A01.047.025.600.451	mesentery	mesentery
MESH:A01.047.025.600.451.535	mesocolon	mesocolon	mesosigmoid
MESH:A01.047.025.600.573	omentum	omentum
MESH:A01.047.025.600.678	peritoneal cavity	greater sac	lesser sac	omental bursa	peritoneal cavity
MESH:A01.047.025.750	retroperitoneal space	retroperitoneal space
MESH:A01.047.050	abdominal wall	abdominal wall
MESH:A01.047.365	groin	groin
MESH:A01.047.412	inguinal canal	inguinal canal
MESH:A01.047.849	umbilicus	
MESH:A01.176	back	back
MESH:A01.176.519	lumbosacral region	lumbar region	lumbosacral region
MESH:A01.176.780	sacrococcygeal region	coccygeal region	sacral region	sacrococcygeal region
MESH:A01.236	breast	breast	mammary gland	mammary gland effect
MESH:A01.236.500	nipple	nipple
MESH:A01.378	extremity	extremity	limb
MESH:A01.378.100	amputation stump	amputation stump
MESH:A01.378.610	lower extremity	lower extremity	lower limb	membrum inferius
MESH:A01.378.610.100	buttock	buttock	gluteal region
MESH:A01.378.610.250	foot	feet
MESH:A01.378.610.250.149	ankle	ankle	regio tarsalis
MESH:A01.378.610.250.300	human forefoot	
MESH:A01.378.610.250.300.480	metatarsus	
MESH:A01.378.610.250.300.792	to	toe
MESH:A01.378.610.250.300.792.380	hallux	
MESH:A01.378.610.250.510	heel	heel
MESH:A01.378.610.400	hip	coxa	hip
MESH:A01.378.610.450	knee	knee
MESH:A01.378.610.500	leg	leg
MESH:A01.378.610.750	thigh	thigh
MESH:A01.378.800	upper extremity	membrum superius	upper extremity	upper limb
MESH:A01.378.800.075	arm	arm
MESH:A01.378.800.090	axilla	axilla
MESH:A01.378.800.420	elbow	elbow
MESH:A01.378.800.585	forearm	forearm
MESH:A01.378.800.667	hand	hand
MESH:A01.378.800.667.430	finger	finger
MESH:A01.378.800.667.430.705	thumb	thumb
MESH:A01.378.800.667.715	wrist	wrist
MESH:A01.378.800.750	shoulder	shoulder
MESH:A01.456	head	head
MESH:A01.456.313	ear	ear
MESH:A01.456.505	face	face
MESH:A01.456.505.173	cheek	bucca	cheek
MESH:A01.456.505.259	chin	mentum
MESH:A01.456.505.420	eye	eye	ophthalmologic effect	ophthalmological effect
MESH:A01.456.505.420.338	eyebrow	eyebrow
MESH:A01.456.505.420.504	eyelid	eyelid
MESH:A01.456.505.420.504.421	eyelash	
MESH:A01.456.505.580	forehead	forehead
MESH:A01.456.505.631	mouth	cavitas oris	cavitas oris propria	mouth cavity proper	oral cavity	oral cavity proper	vestibule of the mouth	vestibule oris
MESH:A01.456.505.631.515	lip	lip
MESH:A01.456.505.733	nose	nose
MESH:A01.456.505.750	parotid region	parotid region
MESH:A01.456.810	scalp	scalp
MESH:A01.456.830	skull base	base of skull	basis cranii	cranial base	skull base
MESH:A01.456.830.150	anterior cranial fossa	anterior cranial fossa
MESH:A01.456.830.165	middle cranial fossa	middle cranial fossa
MESH:A01.456.830.200	posterior cranial fossa	posterior cranial fossa
MESH:A01.598	neck	neck
MESH:A01.673	pelvis	pelvic region
MESH:A01.673.600	pelvic floor	pelvic floor
MESH:A01.719	perineum	perineum
MESH:A01.911	thorax	chest	thorace
MESH:A01.911.800	thoracic cavity	cavitas thoracis	thoracic cavity
MESH:A01.911.800.500	mediastinum	
MESH:A01.911.800.650	pleural cavity	pleural cavity
MESH:A01.911.850	thoracic wall	chest wall	thoracic wall
MESH:A01.960	viscera	
MESH:A02	musculoskeletal system	musculoskeletal system
MESH:A02.165	cartilage	cartilage	fibrocartilage
MESH:A02.165.165	articular cartilage	articular cartilage
MESH:A02.165.207	ear cartilage	ear cartilage
MESH:A02.165.410	intervertebral disk	intervertebral disc	intervertebral disk
MESH:A02.165.507	laryngeal cartilage	laryngeal cartilage
MESH:A02.165.507.083	arytenoid cartilage	arytenoid cartilage
MESH:A02.165.507.211	cricoid cartilage	cricoid cartilage
MESH:A02.165.507.411	epiglottis	
MESH:A02.165.507.870	thyroid cartilage	thyroid cartilage
MESH:A02.165.590	tibial menisci	lateral meniscus	medial meniscus	semilunar cartilage	tibial meniscus
MESH:A02.165.639	nasal septum	nasal septum	vomer
MESH:A02.340	fascia	fascia
MESH:A02.340.424	fascia lata	fascia lata
MESH:A02.513	ligament	ligament
MESH:A02.513.170	broad ligament	broad ligament
MESH:A02.513.514	articular ligament	articular ligament
MESH:A02.513.514.100	anterior cruciate ligament	anterior cruciate ligament
