DC:0000000	46,XX Sex Reversal	
DC:0000002	17-Hydroxysteroid Dehydrogenase Deficiency	
DC:0000004	3-Methylglutaconic Aciduria	
DC:0000011	Adrenal Hypoplasia	
DC:0000016	Alopecia, Isolated	
DC:0000017	Alopecia-Mental Retardation Syndrome	
DC:0000046	Atypical Mycobacteriosis, Familial	
DC:0000054	Bare Lymphocyte Syndrome	
DC:0000057	Bleeding Disorder, Platelet-Type	
DC:0000074	Cerebral Cavernous Malformations	
DC:0000076	Cerebrooculofacioskeletal Syndrome	
DC:0000080	Chondrodysplasia	
DC:0000083	Choreoathetosis	
DC:0000084	Choroidal Dystrophy	
DC:0000090	Colorblindness, Partial	
DC:0000094	Complement Component Deficiency	
DC:0000127	Myotonic Dystrophy	
DC:0000128	Ectodermal Dysplasia	
DC:0000130	Elliptocytosis	
DC:0000131	Short-Rib Thoracic Dysplasia	
DC:0000133	Enuresis, Nocturnal	
DC:0000134	Liver Failure, Infantile	
DC:0000143	Exostoses, Multiple	
DC:0000146	Familial Cold Autoinflammatory Syndrome	
DC:0000148	Fanconi Renotubular Syndrome	
DC:0000149	Epilepsy, Absence	
DC:0000151	Epilepsy, Hot Water	
DC:0000153	Corticosterone Methyloxidase Deficiency	
DC:0000154	Epilepsy, Nocturnal Frontal Lobe	
DC:0000158	Fatty Liver Disease, Nonalcoholic	
DC:0000159	Febrile Seizures, Familial	
DC:0000166	Frontonasal Dysplasia	
DC:0000174	Glomerulopathy with Fibronectin Deposits	
DC:0000175	Glucocorticoid Deficiency	
DC:0000181	Hemolytic Anemia, Nonspherocytic	
DC:0000184	Herpes Simplex Encephalitis, Susceptibility	
DC:0000192	Hyper-IgE Recurrent Infection Syndrome	
DC:0000194	Hypercalciuria, Absorptive	
DC:0000202	Hyperphenylalaninemia, BH4-Deficient	
DC:0000204	Hyperprolinemia	
DC:0000209	Hypocalciuric Hypercalcemia	
DC:0000212	Hypomagnesemia	
DC:0000217	Hypothyroidism, Congenital, Nongoitrous	
DC:0000219	Hypouricemia, Renal	
DC:0000222	Immunodeficiency with Hyper-IgM	
DC:0000223	Immunoglobulin A Deficiency	
DC:0000227	Invasive Pneumococcal Disease, Recurrent Isolated	
DC:0000234	Keratoderma, Palmoplantar Striate	
DC:0000237	Left Ventricular Noncompaction	
DC:0000241	Lethal Congenital Contractural Syndrome	
DC:0000245	Leukodystrophy, Hypomyelinating	
DC:0000259	Lymphoproliferative Syndrome	
DC:0000261	Macroglobulinemia, Waldenstrom	
DC:0000263	Macular Dystrophy	
DC:0000264	Major Affective Disorder	
DC:0000267	Mandibuloacral Dysplasia with Lipodystrophy	
DC:0000271	Melanoma, Cutaneous Malignant	
DC:0000274	Methylmalonic Aciduria and Homocystinuria	
DC:0000276	Microcephalic Osteodysplastic Primordial Dwarfism	
DC:0000278	Microphthalmia, Isolated	
DC:0000279	Molybdenum Cofactor Deficiency	
DC:0000280	Microphthalmia, Syndromic	
DC:0000281	Microvascular Complications of Diabetes, Susceptibility	
DC:0000283	Mitochondrial Complex Deficiency	
DC:0000284	Mitochondrial DNA Depletion Syndrome	
DC:0000292	Multiple Pterygium Syndrome	
DC:0000298	Mycobacterium Tuberculosis, Susceptibility	
DC:0000302	Myopathy, Congenital	
DC:0000304	Myopathy, Lactic Acidosis, and Sideroblastic Anemia	
DC:0000306	Myopathy, Reducing Body, X-Linked	
DC:0000308	Myopathy, Inclusion Body	
DC:0000310	Nail Disorder, Nonsyndromic Congenital	
DC:0000318	Neural Tube Defects	
DC:0000320	Neurodegeneration with Brain Iron Accumulation	
DC:0000322	Neuronopathy, Distal Hereditary Motor	
DC:0000328	Nystagmus	
DC:0000331	Acrocephalopolysyndactyly	
DC:0000341	Nephrolithiasis/Osteoporosis, Hypophosphatemic	
DC:0000342	Oto-Palato-Digital Syndrome	
DC:0000345	Ovarian Dysgenesis	
DC:0000354	Pelvic Organ Prolapse	
DC:0000356	Griscelli Syndrome	
DC:0000357	Pigmented Nodular Adrenocortical Disease	
DC:0000362	Polydactyly, Preaxial	
DC:0000371	Age-Related Hearing Impairment	
DC:0000373	Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions	
DC:0000374	Progressive Familial Heart Block	
DC:0000381	Pyloric Stenosis, Infantile	
DC:0000398	Schistosoma mansoni Infection, Susceptibility	
DC:0000412	Spherocytosis	
DC:0000416	Split-Hand/Foot Malformation	
DC:0000436	Thyroid Dyshormonogenesis	
DC:0000438	Thyrotoxic Periodic Paralysis	
