OBA:0000001	biological attribute	
OBA:0000003	ER calcium ion concentration	
OBA:0000005	Golgi calcium ion concentration	
OBA:0000006	Malpighian tubule diameter	
OBA:0000007	Malpighian tubule size	
OBA:0000009	RNA stability	
OBA:0000011	actin filament length	
OBA:0000015	anatomical structure size	
OBA:0000016	angiotensin levels in blood	
OBA:0000018	appetite	
OBA:0000022	autophagic vacuole size	
OBA:0000023	axon diameter	
OBA:0000032	blood vessel size	
OBA:0000036	body fluid levels	
OBA:0000037	brood size	
OBA:0000039	buoyancy	
OBA:0000040	calcium ion concentration	
OBA:0000046	cardiac muscle cell membrane potential	
OBA:0000048	cell diameter	
OBA:0000050	cell pH	
OBA:0000051	cell projection size	
OBA:0000052	cell shape	
OBA:0000055	cell size	
OBA:0000056	cell volume	
OBA:0000057	cellular component size	
OBA:0000058	cellular pH	
OBA:0000060	cilium beat frequency	
OBA:0000061	circulating fibrinogen levels	
OBA:0000066	direction of cell growth	
OBA:0000067	embryonic cell shape	
OBA:0000068	endosome size	
OBA:0000069	excitatory post-synaptic membrane potential	
OBA:0000072	follicle cell microvillus length	
OBA:0000074	heart contraction rate	
OBA:0000079	hormone levels	
OBA:0000084	imaginal disc-derived wing size	
OBA:0000085	inhibitory post-synaptic membrane potential	
OBA:0000088	liquid surface tension	
OBA:0000089	long-term neuronal synaptic plasticity	
OBA:0000090	lung blood pressure	
OBA:0000091	lysosomal lumen pH	
OBA:0000092	lysosomal membrane permeability	
OBA:0000093	mRNA stability	
OBA:0000098	membrane lipid distribution	
OBA:0000099	membrane potential	
OBA:0000100	membrane potential in photoreceptor cell	
OBA:0000101	metanephric kidney size	
OBA:0000102	microvillus length	
OBA:0000103	mitochondrial mRNA stability	
OBA:0000104	mitochondrial membrane permeability	
OBA:0000105	mitochondrial membrane potential	
OBA:0000106	mitochondrial rRNA stability	
OBA:0000107	multivesicular body size	
OBA:0000110	muscle filament sliding speed	
OBA:0000112	myofibril number	
OBA:0000113	myofibril size	
OBA:0000114	neuronal synaptic plasticity	
OBA:0000116	neurotransmitter levels	
OBA:0000117	nuclear size	
OBA:0000119	nucleosome density	
OBA:0000120	osmotic pressure	
OBA:0000121	pH	
OBA:0000122	peroxisome size	
OBA:0000123	plasma membrane sterol distribution	
OBA:0000124	post-lysosomal vacuole size	
OBA:0000125	post-synaptic membrane potential	
OBA:0000126	potassium ion concentration	
OBA:0000127	pronephric kidney size	
OBA:0000128	protein stability	
OBA:0000129	rRNA stability	
OBA:0000134	resting membrane potential	
OBA:0000136	short-term neuronal synaptic plasticity	
OBA:0000138	spindle density	
OBA:0000139	synapse structure and activity	
OBA:0000140	synaptic metaplasticity	
OBA:0000141	synaptic plasticity	
OBA:0000143	systemic arterial blood pressure	
OBA:0000160	thalamus size	
OBA:0000161	force of heart contraction	the force of heart contraction
OBA:0000164	velocity of shortening of skeletal muscle modulating contraction	the velocity of shortening of skeletal muscle modulating contraction	velocity of shortening of skeletal muscle
OBA:0000166	tracheal tube diameter	
OBA:0000167	tracheal tube length	
OBA:0000168	tracheal tube size	
OBA:0000169	translational accuracy	translational fidelity
OBA:0000171	tube diameter	
OBA:0000172	tube size	
OBA:0000173	urinary volume	
OBA:0000174	vascular permeability	
OBA:0000181	viral protein levels	
OBA:0000182	nutrient level	
OBA:0001001	macromolecular stability	
OBA:1000001	blood brain barrier permeability	blood brain barrier permeability trait
OBA:1000002	intermammary line length	intermammary line length trait
OBA:1000003	inter-canthal distance	anatomical line between inner canthi length trait
OBA:1000004	distance between ears	anatomical line between outer ears length trait
OBA:1000005	inter-pupillar distance	anatomical line between pupils length trait
OBA:1000006	cilium length	cilium length trait
