vocabset	number_of_classes_mapped
[]	3756
[SCTID]	367
[ENVO]	127
[CHEBI,SCTID]	120
[CHEBI]	80
[ENVO,SCTID]	71
[PATO,SCTID]	33
[PATO]	19
[ExO]	11
[CHEBI,PATO,SCTID]	7
[ExO,SCTID]	7
[ENVO,PATO]	4
[CHEBI,ENVO]	3
[EO]	3
[EO,SCTID]	3
[CHEBI,ENVO,SCTID]	2
[CHEBI,PATO]	2
[ENVO,PATO,SCTID]	2
[ExO,PATO,SCTID]	2
[TO]	2
[Alan_Wood's_Pesticides,CHEBI,SCTID]	1
[CHEBI,ENVO,PATO,SCTID]	1
[CHEBI,EO]	1
[CHEBI,EO,SCTID]	1
[CHEBI,SCTID,TO]	1
[ENVO,EO]	1
[ENVO,EO,SCTID]	1
[ENVO,ExO,PATO,SCTID]	1
[ENVO,SCTID,TO]	1
[ExO,SCTOP_260686004]	1
[Patent,SCTID,SUBMITTER]	1
[SCTOP_370129005]	1
