subjectClass,subectClassLabel,relationship,relationshipLabel,objectClass,objectClassLabel
http://purl.obolibrary.org/obo/FOODON_03302411,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03302230,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03307302,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03307302,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.unep.org/sdg/SDGIO_00010028,,http://purl.obolibrary.org/obo/RO_0002217,actively participates in,http://purl.unep.org/sdg/SDGIO_00010027,ownership process
http://purl.obolibrary.org/obo/FOODON_03302407,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03302407,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03304621,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03304659,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/OBI_0000338,,http://purl.obolibrary.org/obo/OBI_0000293,has_specified_input,http://purl.obolibrary.org/obo/IAO_0000027,data item
http://purl.obolibrary.org/obo/ENVO_01000817,,http://purl.obolibrary.org/obo/BFO_0000051,has part,http://purl.obolibrary.org/obo/PCO_0000000,collection of organisms
http://purl.obolibrary.org/obo/ENVO_01000817,,http://purl.obolibrary.org/obo/BFO_0000051,has part,http://purl.obolibrary.org/obo/PCO_0000000,collection of organisms
http://purl.obolibrary.org/obo/OBI_0000659,,http://purl.obolibrary.org/obo/OBI_0000299,has_specified_output,http://purl.obolibrary.org/obo/OBI_0100051,specimen
http://purl.obolibrary.org/obo/ENVO_01000952,,http://purl.obolibrary.org/obo/RO_0002234,has output,http://purl.obolibrary.org/obo/ENVO_01000313,anthropogenic environment
http://purl.unep.org/sdg/SDGIO_00000061,,http://purl.obolibrary.org/obo/RO_0000053,bearer of,http://purl.unep.org/sdg/SDGIO_00000058,producer cooperative member role
http://purl.obolibrary.org/obo/OBI_0000457,,http://purl.obolibrary.org/obo/OBI_0000299,has_specified_output,http://purl.obolibrary.org/obo/OBI_0000047,processed material
http://purl.obolibrary.org/obo/FOODON_03302229,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03311054,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03302233,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03315151,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03302160,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03307481,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03305448,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03315754,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03302661,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03302661,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03302231,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.unep.org/sdg/SDGIO_00010072,,http://purl.obolibrary.org/obo/BFO_0000050,part of,http://purl.unep.org/sdg/SDGIO_00010053,natural capital
http://purl.obolibrary.org/obo/OBI_0000700,,http://purl.obolibrary.org/obo/OBI_0000417,achieves_planned_objective,http://purl.obolibrary.org/obo/OBI_0200179,class prediction objective
http://purl.obolibrary.org/obo/FOODON_03306650,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03315040,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03309761,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03304837,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.unep.org/sdg/SDGIO_00000011,,http://purl.obolibrary.org/obo/BFO_0000055,realizes,http://purl.unep.org/sdg/SDGIO_00010017,resource role
http://purl.obolibrary.org/obo/FOODON_03309897,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03302290,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/IAO_0000104,,http://purl.obolibrary.org/obo/BFO_0000051,has part,http://purl.obolibrary.org/obo/IAO_0000007,action specification
http://purl.unep.org/sdg/SDGIO_00000060,,http://purl.obolibrary.org/obo/RO_0000053,bearer of,http://purl.unep.org/sdg/SDGIO_00000054,own-account worker role
http://purl.obolibrary.org/obo/FOODON_03302158,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03316535,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03302169,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03302279,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.unep.org/sdg/SDGIO_00010010,,http://purl.obolibrary.org/obo/BFO_0000054,realized in,http://purl.unep.org/sdg/SDGIO_00010001,education process
http://purl.obolibrary.org/obo/FOODON_03301776,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/ENVO_00002297,,http://purl.obolibrary.org/obo/RO_0002508,determines,http://purl.obolibrary.org/obo/ENVO_01000254,environmental system
